Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
org.eclipse.collections.impl.clusters.Cluster_1._Benchmark.benchmark_Cluster_1,119379.983,119653.149,119837.378,119818.526,119402.059,118665.315,119463.187,119255.096,119518.433,119493.382,119426.801,119593.01,119451.264,118745.175,120283.753,119704.775,119993.231,119813.894,119417.51,119354.073,119133.044,118709.732,117989.307,119463.459,119526.283,119543.679,119533.271,119745.82,119665.624,119056.572,0.373777924
org.eclipse.collections.impl.clusters.Cluster_10._Benchmark.benchmark_Cluster_10,132409.125,131767.346,130016.239,131771.781,133044.18,134085.461,132446.103,132419.016,133804.555,132486.915,131537.715,129781.258,130162.171,131036.552,129414.997,131634.863,131903.116,132031.999,131695.031,130449.626,132136.78,130845.269,131259.249,131708.23,129985.804,131127.878,132810.274,131794.266,131924.906,131693.251,0.846193859
org.eclipse.collections.impl.clusters.Cluster_100._Benchmark.benchmark_Cluster_100,158507.443,158552.084,159220.471,159060.484,158165.695,158319.59,159264.074,159358.981,158535.825,158500.392,158378.111,159350.211,158509.686,158500.094,158652.681,159178.646,158826.314,158160.094,159084.395,159105.38,158446.868,158578.13,158759.107,158485.709,158483.137,159050.139,157135.719,158029.588,157208.64,158482.978,0.337446861
org.eclipse.collections.impl.clusters.Cluster_1000._Benchmark.benchmark_Cluster_1000,172070.043,173039.567,175189.116,173986.845,173094.554,171497.51,174085.476,174151.134,172523.668,172453.57,171439.725,172464.467,172893.297,173130.672,172775.61,172548.971,173904.068,173140.094,173684.901,172796.726,173404.245,172155.728,173261.451,171902.786,172837.224,173385.79,173810.333,172505.089,174138.191,173544.288,0.491548573
org.eclipse.collections.impl.clusters.Cluster_1001._Benchmark.benchmark_Cluster_1001,194514.846,193667.419,192875.794,193317.877,193819.967,194580.843,192301.926,192942.056,193726.006,191988.694,194210.803,194194.66,192735.168,191931.684,191737.323,191631.284,192188.524,192436.026,190381.854,193681.943,194190.237,194093.793,195481.007,192787.038,191840.334,192637.581,192855.329,194283.68,194282.017,193115.886,0.584003111
org.eclipse.collections.impl.clusters.Cluster_1002._Benchmark.benchmark_Cluster_1002,103166.577,103559.85,102980.135,102780.841,102047.469,102765.114,103645.982,102250.541,102782.615,102545.656,102844.872,103150.716,102885.157,102651.61,102515.346,102614.026,102570.042,101881.04,102087.282,101663.753,102571.298,102538.003,102464.568,103140.614,102652.54,102625.788,102521.194,102381.742,103597.299,103644.331,0.483733193
org.eclipse.collections.impl.clusters.Cluster_1003._Benchmark.benchmark_Cluster_1003,165084.276,164111.341,165206.978,164637.085,165113.217,163948.136,164148.103,165116.346,165320.411,165237.76,165123.892,165155.74,163892.809,164444.373,164709.026,163776.084,165251.386,165141.565,164921.843,164524.689,164968.44,164997.544,164039.008,164700.714,164823.105,164473.113,164837.51,165578.332,164499.212,164124.375,0.297799298
org.eclipse.collections.impl.clusters.Cluster_1004._Benchmark.benchmark_Cluster_1004,230613.592,227524.904,227716.112,228784.718,228722.427,228472.562,229187.693,226733.791,227327.028,226152.044,226025.778,227430.514,228106.942,228244.559,227721.281,228054.978,226900.786,226681.789,227118.685,228268.402,228510.47,227352.519,228388.277,227968.521,227766.838,226833.854,227948.642,228558.857,228666.39,228813.689,0.422072263
org.eclipse.collections.impl.clusters.Cluster_1005._Benchmark.benchmark_Cluster_1005,186654.205,185980.918,188082.846,187679.268,186945.232,188484.475,186670.674,186287.916,186346.961,185318.165,187971.055,188550.509,185999.49,188517.139,188786.706,189010.607,187636.884,188458.828,189087.044,189040.316,187801.168,186484.007,188148.165,186567.762,189088.051,188115.372,187429.28,188366.23,189007.885,188013.175,0.584357083
org.eclipse.collections.impl.clusters.Cluster_1006._Benchmark.benchmark_Cluster_1006,185449.275,186671.619,185884.065,187048.752,187522.151,189358.229,186261.901,186781.923,187414.008,186852.723,186013.353,186085.288,187580.816,184965.342,187866.986,187690.96,186101.561,186209.814,186462.452,187734.528,187801.726,185865.409,187290.057,188901.807,188004.839,185592.642,188670.353,187199.353,187007.876,186572.533,0.559627243
