Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
io.reactivex.rxjava3.internal.operators.mixed.ObservableConcatMapMaybeTest._Benchmark.benchmark_mixed,1184342.354,1182691.769,1181004.692,1183608.079,1184540.757,1183666.311,1183000.613,1184109.051,1181274.968,1181765.178,1184384.228,1184570.726,1184345.261,1181942.603,1185207.182,1185715.024,1182885.999,1184531.359,1184812.868,1183125.068,1183358.836,1183717.331,1183398.99,1183264.972,1183396.863,1184425.651,1183968.804,1183413.834,1185170.802,1185726.275,0.100584711
io.reactivex.rxjava3.internal.operators.observable.ObservableDelayTest._Benchmark.benchmark_delaySupplierSimple,675131.326,675542.054,675180.46,674251.544,674427.238,674802.125,673343.003,675257.144,674169.299,674796.695,675201.38,674608.481,676039.846,674855.179,674020.494,675559.743,674414.066,675790.669,674378.691,675127.836,674897.61,674108.97,674348.383,673429.843,673687.63,674890.182,674248.921,674635.653,673557.528,675332.803,0.102101813
io.reactivex.rxjava3.internal.jdk8.MaybeToCompletionStageTest._Benchmark.benchmark_empty,18198797.07,18211742.03,18182636.03,18223092.09,18203548.15,18187590.42,18222840.87,18201240.53,18200101.92,18201398.35,18229437.94,18219291.17,18198351.47,18202440.4,18209909.21,18230409.49,18221546.01,18206109.44,18262926.86,18183469.43,18176461.83,18217656.91,18201729.05,18230036.27,18166150.54,18203400.07,18183001.71,18206577.75,18202423.86,18230319.5,0.108517287
io.reactivex.rxjava3.internal.operators.flowable.BlockingFlowableLatestTest._Benchmark.benchmark_fasterSource,2830113.462,2831136.446,2826991.259,2834932.357,2829651.41,2825461.173,2833144.556,2826362.031,2831986.338,2828846.362,2832542.429,2831068.449,2822972.866,2832120.559,2827100.838,2837229.574,2829754.898,2830478.976,2827660.261,2828133.162,2827092.793,2828949.97,2826965.126,2830626.866,2823528.427,2830419.979,2830568.568,2831582.757,2832038.457,2830624.003,0.109912912
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatMapTest._Benchmark.benchmark_dispose,4406471.253,4405780.685,4399988.743,4410068.063,4398323.799,4403169.924,4404428.798,4415161.942,4412643.8,4397478.925,4394576.032,4400548.304,4397604.111,4400280.049,4404663.376,4413200.498,4411135.599,4407446.297,4407314.533,4401228.454,4403429.829,4405497.895,4402475.85,4402698.054,4400697.13,4404368.28,4408458.376,4410543.311,4402633.43,4406009.301,0.114232809
io.reactivex.rxjava3.internal.operators.flowable.FlowableDoFinallyTest._Benchmark.benchmark_eventOrdering2,5032290.332,5016035.87,5015805.279,5016896.072,5034688.7,5027628.063,5022738.71,5022404.619,5023761.084,5032276.702,5036417.255,5025561.11,5034274.659,5027665.475,5021639.835,5032026.981,5019524.73,5030508.963,5037514.189,5026372.066,5022653.397,5020606.367,5029698.325,5025201.667,5025115.812,5031467.059,5033954.718,5028349.982,5028255.128,5027554.289,0.118887294
io.reactivex.rxjava3.internal.operators.observable.ObservableRepeatTest._Benchmark.benchmark_noCancelPreviousRepeatWhen,1291393.155,1290421.649,1291100.165,1289973.067,1291611.653,1289874.86,1292890.474,1290370.692,1292270.787,1288009.188,1292430.386,1288270.559,1291312.132,1290042.332,1292680.193,1287256.161,1290217.62,1291252.41,1292657.511,1289645.293,1291053.007,1288658.223,1289046.601,1288818.289,1292834.748,1287831.681,1290355.056,1289505.632,1291441.73,1290442.994,0.122155136
io.reactivex.rxjava3.internal.operators.maybe.MaybeZipArrayTest._Benchmark.benchmark_dispose,3006089.508,3005348.318,3004779.041,3003278.424,3009735.937,3006947.122,3005452.095,3005722.129,3007477.929,2999809.034,3007490.029,3001697.547,3009902.835,3009164.822,3009792.114,3001378.852,3009323.341,3010799.645,3002699.392,3016415.699,3009700.951,3008393.977,3012318.945,3003206.526,3007379.308,3002878.147,3009080.089,3004213.958,3003765.078,3002267.632,0.123770646
io.reactivex.rxjava3.flowable.FlowableSubscriberTest._Benchmark.benchmark_onStartCalledOnceViaSubscribe,9321744.117,9308459.831,9297048.104,9312799.134,9324068.647,9306041.146,9313882.253,9335869.849,9323507.211,9291107.687,9304988.167,9313679.755,9290362.575,9312366.598,9314807.522,9313793.739,9332092.204,9313698.735,9312140.113,9308931.841,9298921.734,9313088.512,9322621.324,9306446.337,9315363.936,9341135.439,9310353.245,9318503.984,9331746.42,9321514.577,0.128208026
io.reactivex.rxjava3.internal.operators.completable.CompletableCreateTest._Benchmark.benchmark_dispose,15358422.94,15326842.25,15301525.22,15304287.24,15314216.64,15337859.12,15337929.12,15336820.31,15319660.33,15328186.83,15325586.92,15352677.64,15337195.25,15334858.81,15310457.19,15328265.67,15313653.6,15334366.71,15333530.14,15322308.18,15292131.22,15314871,15339915.78,15318705.67,15319890.03,15327032.12,15353716.48,15379585.23,15339862.48,15281670.58,0.129602848
