Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
zipkin2.clusters.Cluster_1._Benchmark.benchmark_Cluster_1,140664.515,140936.945,141215.396,142809.338,141119.267,140302.923,139851.907,139061.752,142109.92,141600.775,139876.916,140543.943,140724.049,140216.946,141141.019,142441.107,143128.112,142933.436,142142.433,142523.07,142861.717,142780.639,142526.08,142305.423,142089.618,142339.633,142140.229,142578.489,141977.249,142675.305
zipkin2.clusters.Cluster_10._Benchmark.benchmark_Cluster_10,122146.486,123152.615,123300.873,122731.12,123064.69,123355.119,122460.766,123056.205,125265.032,123873.733,125576.019,125606.304,123951.186,124155.581,124399.389,123431.492,123782.978,121947.693,122852.049,122796.214,122661.139,122608.023,123487.016,124624.555,124169.05,124016.587,123317.884,123610.897,124482.37,123133.53
zipkin2.clusters.Cluster_11._Benchmark.benchmark_Cluster_11,111365.037,110911.782,112054.264,111675.931,110569.005,110455.375,110685.61,110878.02,112533.146,110412.993,110164.721,110500.675,110888.126,109862.744,112744.279,111974.641,111506.535,112917.97,112911.511,112185.849,112533.267,112822.872,113077.572,113232.648,113212.064,112451.571,112597.226,112466.22,112538.756,112157.027
zipkin2.clusters.Cluster_12._Benchmark.benchmark_Cluster_12,167123.605,167283.253,167229.046,167278.537,166709.784,165817.444,166715.887,167294.698,166532.508,166037.57,165546.298,165817.524,165917.429,164997.223,166498.24,165302.262,166859.045,166217.841,166362.175,165610.756,164513.873,166825.831,166710.004,165731.673,166145.954,166065.982,167276.937,166716.837,166896.855,166143.09
zipkin2.clusters.Cluster_13._Benchmark.benchmark_Cluster_13,141061.463,142685.956,142193.599,141901.257,141399.123,139803.982,139816.795,140454.501,142692.652,142212.982,142357.72,143298.05,141654.58,141068.795,140922.705,141340.975,143492.803,142306.854,141288.194,141419.79,141729.824,143165.204,139875.178,141089.798,140515.278,141655.699,142994.175,140451.269,142157.547,142909.422
zipkin2.clusters.Cluster_14._Benchmark.benchmark_Cluster_14,163796.928,164337.094,163725.852,163492.664,163877.702,163259.198,162110.87,163125.41,162591.773,162223.141,161211.116,160208.006,161290.831,160434.211,161104.827,163473.309,163063.176,161759.196,159973.838,161883.964,162700.638,162478.605,162625.721,161560.404,162787.194,162994.565,161133.614,161995.199,161033.272,160516.942
zipkin2.clusters.Cluster_15._Benchmark.benchmark_Cluster_15,229386.47,226261.274,227196.596,227230.457,226585.522,226133.024,224776.879,225685.923,226884.924,223524.89,224111.374,225021.759,228222.376,229056.112,229581.254,228866.47,227310.076,227378.468,226948.63,225103.605,226903.963,229921.489,228289.271,229257.49,230617.773,229456.75,229425.479,230523.925,229337.757,229992.925
zipkin2.clusters.Cluster_16._Benchmark.benchmark_Cluster_16,128572.639,128698.199,129365.035,129496.12,129534.421,129051.617,129301.867,129322.6,128286.995,126924.015,126822.946,128990.35,128202.062,127560.019,127840.754,128714.173,130130.815,128914.219,129156.346,129242.812,129493.446,129674.261,130609.873,129008.067,128702.961,129022.592,127894.574,128740.991,126988.563,127335.292
zipkin2.clusters.Cluster_17._Benchmark.benchmark_Cluster_17,106783.429,107344.642,108267.273,107879.279,106458.185,106794.366,106982.489,107690.497,107373.931,108957.055,109059.692,109165.153,109369.733,109043.068,109241.738,109272.552,109710.187,108796.017,108191.844,108899.818,108409.441,108941.985,108107.153,108866.266,108956.713,108918.261,108876.696,108630.754,109325.693,109217.03
zipkin2.clusters.Cluster_18._Benchmark.benchmark_Cluster_18,102829.189,102191.034,100579.296,101402.77,101790.646,101926.705,101959.278,100652.401,101340.426,100799.722,101271.349,101259.535,101284.581,99741.83,101320.331,101912.225,101231.016,100853.701,100699.912,100798.266,102128.757,101172.821,101196.245,101877.967,101375.6,100908.826,101036.213,101156.483,101382.604,101341.582
