Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
zipkin2.v1.V1SpanTest._Benchmark.benchmark_binaryAnnotationEndpoint_ignoresEmptyAddress,918043.366,913281.831,913900.871,912007.995,909302.102,911013.734,902906.205,915974.453,895487.902,901359.18,917484.181,915576.581,866450.401,800973.289,788764.445,791641.144,792550.875,804796.85,801363.733,781594.213,794826.161,785187.816,804700.122,805017.639,789391.736,803871.58,804895.589,803512.969,765211.955,793648.109,6.861651744
zipkin2.v1.V1SpanTest._Benchmark.benchmark_annotationEndpoint_emptyToNull,571797.099,601250.185,617888.335,604031.937,612758.647,617398.588,603231.994,611575.735,603778.489,611699.104,612978.68,600914.306,615180.096,600402.582,609785.617,620874.094,613717.226,592571.521,613513.415,614561.197,606129.251,607535.927,620751.363,620225.506,613648.428,605128.53,618637.55,613508.703,587670.041,608278.02,1.741028218
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_boolean_sizeInBytes,603961.372,627847.695,615842.437,628979.669,608204.535,619988.286,600024.584,598761.664,616003.572,605344.797,605993.444,616286.11,607224.302,618139.994,619659.693,608704.753,615354.293,617212.015,609017.187,600001.738,603816.191,602536.982,608829.343,618042.924,602802.861,597696.023,606226.002,607963.22,608157.027,609711.808,1.334936042
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_utf8_sizeInBytes,623057.562,619674.759,625690.406,630324.837,629869.926,633545.462,633801.565,632687.454,631606.209,632153.309,631858.793,632678.128,630736.964,632177.775,626501.731,626706.185,629151.057,624312.695,627974.792,632007.636,634232.454,631244.278,623099.003,622504.965,625125.865,612395.467,616322.637,625039.123,627613.514,617270.229,0.900404383
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_varint_sizeInBytes,587020.423,592065.155,586117.928,589051.645,577649.789,582314.619,587923.43,586036.117,585780.542,591942.779,583757.58,580884.055,585590.992,578359.191,585149.992,586544.037,592594.079,584343.792,583550.904,589518.492,584513.21,576908.692,571061.613,583153.41,585209.957,588057.218,588389.489,591783.108,592225.425,590505.222,0.862196107
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_field_read_FIXED64,611302.293,616153.039,618265.173,614648.503,626010.112,615044.634,623844.432,622825.378,618516.495,626235.143,623470.028,626568.294,626928.744,623968.404,627527.421,629515.886,629441.595,628150.505,624329.769,627509.643,622147.052,629384.12,617398.765,622139.806,625308.679,620495.444,619513.358,626382.126,629039.319,626238.258,0.796888431
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_field_skipValue_LENGTH_DELIMITED,619914.218,618576.994,620298.341,614273.167,618685.239,615561.513,615781.005,613556.994,615030.998,615124.654,616298.041,617865.878,620238.056,620292.466,619041.22,610841.655,616465.895,616765.423,621403.246,618624.845,615840.129,611297.848,622783.497,611462.952,613230.08,606569.571,617791.591,601025.275,606490.438,618102.272,0.783671573
zipkin2.internal.FilterTracesTest._Benchmark.benchmark_returnsWhenValidlyMatches,760189.056,762517.97,761683.974,764870.635,748004.411,765206.48,764827.812,763451.833,765453.904,761818.691,765989.9,749950.618,761398.568,766401.347,761633.702,765335.646,765267.166,765199.08,765454.683,761940.291,764250.481,766189.302,750913.843,751359.943,748929.617,761489.216,762279.935,764020.527,764709.202,753137.028,0.756785001
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_field_readLengthPrefix_LENGTH_DELIMITED,625633.465,623243.298,625982.36,626121.96,624366.025,623322.977,626049.251,629878.931,634951.358,637591.539,626764.648,632838.748,640054.071,633320.242,628450.889,634157.039,626194.663,634499.129,633094.095,627271.43,630359.103,628710.098,628546.444,620935.59,633224.22,633142.508,625680.304,630417.199,625418.995,630133.167,0.725972226
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_fixed32_sizeInBytes,634484.106,633562.427,630700.003,629374.316,631710.459,627175.773,627417.567,629456.732,629503.417,631354.86,632197.167,633334.527,627611.216,627589.149,626266.34,630708.525,626957.532,632424.897,631792.691,629286.791,636803.854,631303.879,628368.388,635091.102,633160.307,625082.035,615932.344,617528.222,631264.688,633262.255,0.715062116
